rank,h3_index,city,tier,opportunity_score,lat,lon,h3_cell_acres,project_acres,dist_to_center_km,property_type,land_value_current,total_dev_cost,equity_required,buildable_sqft,noi_year1,noi_year5,stabilised_value,exit_value_yr5,exit_cap_rate,est_irr_pct,equity_multiple,value_uplift
1,88489e376dfffff,austin,Tier 1 � Top 10%,0.7431,30.2016,-97.7007,208.0,7.3,8.4,residential,1626666,28340680,9919238,158994,1956714,2160370,38366936,42360197,0.051,21.97,3.48,40733531.0
2,88489e3297fffff,austin,Tier 1 � Top 10%,0.7387,30.1937,-97.7053,208.1,7.7,8.9,residential,1481503,29893594,10462758,167706,2063931,2278746,40469234,44681304,0.051,21.97,3.48,43199801.0
3,88489e34a1fffff,austin,Tier 1 � Top 10%,0.7352,30.3379,-97.781,208.0,7.5,8.7,residential,1549418,29117137,10190998,163350,2010322,2219558,39418085,43520750,0.051,21.97,3.48,41971333.0
4,88489e3611fffff,austin,Tier 1 � Top 10%,0.7347,30.236,-97.8205,208.2,3.6,8.2,commercial,834318,18169094,6359183,101930,1553118,1714767,25050284,27657537,0.062,25.54,3.72,26823219.0
5,88489e3295fffff,austin,Tier 1 � Top 10%,0.7316,30.1862,-97.6997,208.1,10.1,9.9,vacant,1519222,31368863,10979102,175982,2165787,2391204,39377950,43476438,0.055,18.58,3.17,41957217.0
6,88489e32bbfffff,austin,Tier 1 � Top 10%,0.7316,30.1941,-97.6951,208.0,8.0,9.3,residential,1390640,31058280,10870398,174240,2144344,2367529,42045957,46422134,0.051,21.97,3.48,45031494.0
7,88489e3283fffff,austin,Tier 1 � Top 10%,0.7305,30.1786,-97.6941,208.1,9.1,10.9,residential,1069614,35328794,12365078,198198,2439191,2693064,47827276,52805177,0.051,21.97,3.48,51735563.0
8,88489e228dfffff,austin,Tier 1 � Top 10%,0.7293,30.3267,-97.6575,207.8,13.3,10.5,industrial,1713027,56797830,19879240,318641,3361259,3711101,56020982,61851691,0.06,6.37,2.33,60138664.0
9,88489e229dfffff,austin,Tier 1 � Top 10%,0.729,30.3414,-97.6789,207.9,8.7,10.3,residential,1281414,33775879,11821558,189486,2331974,2574688,45724978,50484071,0.051,21.97,3.48,49202656.0
10,88489e22c1fffff,austin,Tier 1 � Top 10%,0.7287,30.3109,-97.6667,207.9,7.6,8.8,residential,1516679,29505366,10326878,165528,2037127,2249152,39943659,44101027,0.051,21.97,3.48,42584348.0
